a / an | =
heinously | ˈɛ:nǝslǝɪ, ˈhɛ:-
heir / ~s | ɛ:ɹ / -z
heir-apparent | m ˈɛ:ɹ-ǝˌparǝnt, ˌɛ:ɹ-ǝˈparǝnt
heir general | ˌɛ:ɹ-ˈgenrɑl, -nǝr-
heirless | ˈɛ:ɹlǝs
Helen / ~’s | ˈelǝn, = / -z
Helena | m ˈelǝnǝ, -ˌna, ˈhe-
Helenus | ˈelǝnǝs, ˈhe-
Helias | ˈelɪǝs, ˈhe-
Helicon / ~s | ˈelɪˌkɒnz, ˈhe-
hell / ~’s | el, = / -z
hell-black | ˈel-ˌblak, =
hell-broth | ˈel-ˌbrɒɵ, =
Hellespont | ˈelɪsˌpɒnt, ˈhe-
hell-fire | ˈel-ˌfǝɪɹ, ˈhe-
hell-gate | ˈel-ˌgɛ:t, ˈhe-
hell-governed | m ˌel-ˈgɤvǝɹnd, ˌhe-
hell-hated | m ˌel-ˈɛ:tɪd, ˌhel-ˈhɛ:-
hell-hound / ~s | ˈel-ˌǝʊnd, ˈhel-ˌhǝʊnd / -z
hellish | ˈelɪʃ, =
hell-kite | ˈel-ˌkǝɪt, ˈhe-
hell-pains | m ˈel-ˌpɛ:nz, ˌel-ˈpɛ:nz, ˈhe-, ˌhe-
helm / ~s | elm, = / -z
helm / ~ed | elmd, =
helmet / ~s | ˈelmǝt, = / -s
help / ~s | elp, = / -s
help / ~est / ~s / ~ing / ~ed / holp / ~est | elp, = / -st / -s / ˈelpɪn, -ɪŋ, ˈhe- / elpt, = / ɒlp, hɒ- / -st
helper / ~s | ˈelpǝɹ, ˈhe- / -z
helpful | ˈelpfʊl, =
helping | ˈelpɪn, -ɪŋ, ˈhe-
helpless | ˈelplǝs, =
helter-skelter | ˌeltǝɹ-ˈskeltǝɹ, ˌhe-
hem | em, =
hem / ~s / ~med | em, = / -z / -d
hemlock | ˈemlɒk, =
hemp | emp, =
hempen | ˈempǝn, =
hempseed | ˈempsi:d, =
hen / ~s | en, = / -z
hence | ens, =
henceforth | m ˌensˈfɔ:ɹɵ, ˈensˌfɔ:ɹɵ, ˌhe-, ˈhe-
henceforward | ˌens-ˈfɔ:ɹwǝɹd, ˌhe-
hencegoing | ˌens-ˈgo:ɪn, -ɪŋ, ˌhe-
henchman | ˈentʃmǝn, =
Henricus | ˌhenˈri:kʊs
Henry / ~’s | ˈenrǝɪ, ˈhe- / -z
hent | ˈent, =
Henton | ˈentǝn, ˈhe-
her / ~s / herself
- her | str ɐ:ɹ, hɐ:ɹ, ɛ:ɹ, hɛ:ɹ, unstr ǝɹ
- hers | ɐ:ɹz, hɐ:ɹz, ɛ:ɹz, hɛ:ɹz
- herself | ǝɹˈself, hǝ-
herald / ~’s / ~s | ˈerǝld, = / -z
herald | ˈerǝld, =
heraldry | ˈerǝldrǝɪ, ˈhe-
herb / ~s | ɛ:ɹb / -z
Herbert | ˈɐ:ɹbǝɹt, ˈhɐ:-
herb-grace, herb of grace | ˈɛ:ɹb-ˌgrɛ:s, ˈɛ:ɹbǝˌgrɛ:s
herblet / ~s | ˈɛ:ɹblǝts
Herculean | ǝɹˈkju:lɪǝn, hǝɹ-
Hercules | ˈɐ:ɹkjǝˌli:z, ˈhɐ:-, Bottom MND 1.2.26 ˈɐ:ɹkli:z
herd / ~s | ɐ:ɹd, hɐ:-, ɛ:ɹd, hɛ:- / -z
herds·man / ~men | ˈɐ:ɹdzmǝn, ˈhɐ:-, ˈɛ:ɹ-, ˈhɛ:-
here
- here | i:ɹ, hi:-, ɛ:ɹ, hɛ:-
- here is abbr | i:ɹz, hi:-, ɛ:ɹz, hɛ:-
hereabout / ~s | ˈi:ɹǝˌbǝʊt, ˈhi:-, ˈɛ:ɹ-, ˈhɛ:- / -s
hereafter | ˌi:ɹˈɑ:tǝɹ, -ˈaftǝɹ, ˌhi:-, ˌɛ:ɹ-, ˌhɛ:-
hereby | ˌi:ɹˈbǝɪ, ˌhi:-, ˌɛ:ɹ-, ˌhɛ:-
hereditary | m ǝˈredɪˌtarǝɪ, -ɪtǝr-, -ɪtr-, hǝ-
Hereford / ~’s | ˈɐ:ɹfǝɹd, ˈhɐ:- / -z
Herefordshire | m ˈɐ:ɹfǝɹdˌʃǝɪɹ, ˈhɐ:-
herein | m ˌi:ɹˈɪn, ˈi:ɹɪn, ˌhi:-, ˈhi:-, ˌɛ:ɹˈɪn, ˈɛ:ɹɪn, ˌhɛ:-, ˈhɛ:-
hereof | ˌi:ɹˈɒv, ˌhi:-, ˌɛ:ɹ-, ˌhɛ:-
here·sy / ~ies | ˈerǝˌsǝɪ, ˈhe- / -z
heretic / ~s | ˈerɪˌtɪk, ˈhe- / -s
hereto | ˈi:ɹˌtu:, ˈhi:-, ˈɛ:ɹ-, ˈhɛ:-
hereupon | ˈi:ɹǝˌpɒn, ˈhi:-, ˈɛ:ɹ-, ˈhɛ:-
heritage | ˈerɪtɪdʒ, =
héritier | erɪtˈje
Hermes | ˈɐ:ɹmi:z, ˈhɐ:-
Hermia / ~’s | m ˈɐ:ɹmɪǝ, -mɪˌa, ˈhɐ:- / -z
Hermione / ~’s | m ǝɹˈmǝɪǝˌni:, -ǝni:, hǝɹ- / ǝɹˈmǝɪǝni:z, hǝɹ-
hermit / ~s / ~s’ | ˈɐ:ɹmɪt, ˈhɐ:- / -s
hermitage | ˈɐ:ɹmɪˌtɪdʒ, ˈhɐ:ɹ-
Herne / ~’s | ɐ:ɹn, hɐ:ɹn / -z
hero / ~es | ˈi:ro:z, ˈhi:-
Hero / ~’s [name] | ˈi:ro:, ˈhi:- / -z
Herod / ~s | ˈerǝd, ˈhe- / -z
heroic | eˈro:ɪk, he-
heroical | eˈro:ɪkɑl, he-
herring / ~s | ˈerɪn, -ɪŋ, ˈhe- / -z
Hertford | ˈɐ:ɹtfǝɹd, ˈhɐ:-
Hesperides | eˈsperɪˌdi:z, he-
Hesperus | m ˈespǝˌrɤs, he-
hest / ~s | est, = / -s
heure | œ:ɹ
heureux | œˈrø
hew | ju:, =
hew / ~s / ~ing / ~ed / ~n | ju:, = / -z / ˈju:ɪn, -ɪŋ, ˈhju:- / ju:d, = / ju:n, =
hewgh | hju:, ʍju:
hey | ˈɛ:, ˈhɛ:-
heyday | ˈɛ:dɛ:, ˈhɛ:-
hic Lat det / Eng [from Lat]
- hic | hɪk, Evans MW 4.1.39 hɪg / hɪk
- haec | hek, Evans MW 4.1.39 hag
- harum genitive feminine plural | ˈhɑ:ɹʊm
- hoc nominative neuter singular | hɒk, Evans MW 4.1.39 hɒg
- horum genitive masculine or neuter plural | ˈhɔ:rʊm
- huius genitive singular | ˈhu:ɪʊs
- hunc accusative masculine singular | William MW 4.1.41 hɪŋk, Evans MW 4.1.43 hʊŋg
hidden | ˈɪdn, =
hide / ~s | ǝɪd, hǝɪd / -z
hid·e / ~est / ~es / ~ing / hid | ǝɪd, hǝɪd / -st / -z / ˈǝɪdɪn, -ɪŋ, ˈhǝɪ- / ɪd, =
hideous | ˈɪdɪǝs, =
hideously | m ˈɪdɪǝsˌlǝɪ, ˈhɪ-
hideousness | m ˈɪdɪǝsˌnes, ˈhɪ-
hiding | ˈǝɪdɪn, -ɪŋ, ˈhǝɪ-
hie / ~s | ǝɪ, hǝɪ / -z
Hiems | ˈǝɪǝmz, ˈhǝɪ-
high / ~er / ~est | ǝɪ, hǝɪ / ˈǝɪ·ǝɹ, ˈhǝɪ- / m -ǝst, -st
high | ǝɪ, hǝɪ / ˈǝɪ·ǝɹ, ˈhǝɪ- / m -ǝst, -st
high | ǝɪ, hǝɪ
high-battled | m ˌǝɪ-ˈbatld, ˌhǝɪ-
high-blown | ˈǝɪ-ˌblo:n, ˈhǝɪ-
high-born | ˈǝɪ-ˌbɔ:ɹn, ˈhǝɪ-
high-coloured | m ˌǝɪ-ˈkɤlǝɹd, ˌhǝɪ-
high-day | ˈǝɪ-ˌdɛ:, ˈhǝɪ-
high-engendered | ˈǝɪ-enˌdʒendǝɹd, ˈhǝɪ-
higher | ˈǝɪǝɹ, ˈhǝɪ-
highest | m ˈǝɪǝst, ˈhǝɪ-, ǝɪst, hǝɪst
highest-peering | ˈǝɪǝst-ˌpi:rɪn, -ɪŋ, ˈhǝɪ-
high-grown | ˈǝɪ-ˌgro:n, ˈhǝɪ-
high-judging | m ˌǝɪ-ˈdʒɤdʒɪn, -ɪŋ, ˌhǝɪ-
highly | ˈǝɪlǝɪ, ˈhǝɪ-
high-minded | m ˌǝɪ-ˈmǝɪndɪd, ˌhǝɪ-
highmost | ˈǝɪmo:st, ˈhǝɪ-
highness / ~’ | ˈǝɪnǝs, ˈhǝɪ-
high-placed | m ˌǝɪ-ˈplɛ:st, ˌhǝɪ-
high-proof | ˈǝɪ-ˌprɤf, ˈhǝɪ-, -ru:f
high-reaching | m ˌǝɪ-ˈri:tʃɪn, -ɪŋ, ˌhǝɪ-
high-reared | ˈǝɪ-ˌri:ɹd, ˈhǝɪ-
high-repented | ˈǝɪ-rɪˌpentɪd, ˈhǝɪ-
high-resolved | m ˈǝɪ-rɪˌsɒlvɪd, ˈhǝɪ-, -ˌzɒ-
high-sighted | m ˌǝɪ-ˈsǝɪtɪd, ˌhǝɪ-
high-soaring | m ˌǝɪ-ˈsɔ:rɪn, -ɪŋ, ˌhǝɪ-
high-stomached | m ˌǝɪ-ˈstɒmǝkt, ˌhǝɪ-
high-swollen | ˈǝɪ-ˌswo:ln, ˈhǝɪ-
hight | ǝɪt, hǝɪt
high-viced | ˈǝɪ-ˌvǝɪst, ˈhǝɪ-
highway / ~s | m ˈǝɪwɛ:, ǝɪˈwɛ:, ˈhǝɪ-, hǝɪ- / -z
high-witted | m ˌǝɪ-ˈwɪtɪd, ˌhǝɪ-
high-wrought | ˈǝɪ-ˌrɔ:t, ˈhǝɪ-
hilding / ~s | ˈɪldɪn, -ɪŋ, ˈhɪ- / -z
hill / ~s | ɪl, = / -z
hillo, illo / ~a | ɪˈlo:, hɪ- / ɪˈlo:ǝ, hɪ-
hilt / ~s | ɪlt, = / -s
Hinckley | ˈɪŋklǝɪ, ˈhɪ-
hind / ~s | ǝɪnd, hǝɪ- / -z
hinder / ~s / ed | ˈɪndǝɹ, ˈhɪ- / -z / -d
hindering | ˈɪndrɪn, -ɪŋ, ˈhɪ-
hindmost | ˈǝɪndmo:st, ˈhǝɪ-
hinge / ~s | ɪndʒ, = / ˈɪndʒɪz, =
hinge | ɪndʒ, =
hint | ɪnt, =
hip / ~s | ɪp, = / -s
hip / ~ped | ɪpt, =
Hipparchus | ɪˈpɑ:ɹkǝs, hɪ-
Hippocrates | Evans MW 3.1.61 ɪˈbɒkrǝti:z, hɪ-
Hippolita | m ɪˈpɒlɪtǝ, -ˌta, hɪ-
hire | ǝɪɹ, hǝɪɹ
hire / ~d | ǝɪɹ, hǝɪɹ / m ǝɪɹd, ˈǝɪrɪd, hǝɪ-, ˈhǝɪ-
hired | m ǝɪɹd, ˈǝɪrɪd, hǝɪ-, ˈhǝɪ-
Hiren | ˈǝɪrǝn, ˈhǝɪ-
Hirsius | ˈɐ:ɹsɪǝs, ˈhɐ:-
Hisperia | ɪsˈpi:rɪǝ, hɪ-
hiss TNK | ɪs, =
hiss / ~es / ~ing / ~ed | ɪs, = / ˈɪs·ɪz, ˈhɪ- / -ɪn, -ɪŋ / ɪst, =
hissing | ˈɪsɪn, -ɪŋ, ˈhɪ-
hist | =
historical | ɪsˈtɒrɪkɑl, hɪ-
history | m ˈɪstǝˌrǝɪ, -tǝr-, -tr-, ˈhɪ-
hit / ~s | ɪt, = / -s
hit / ~s / ~ting | ɪt, = / -s / ˈɪtɪn, -ɪŋ, ˈhɪ-
hither | ˈɪðǝɹ, ˈhɪ-
hitherto | ˈɪðǝɹˈtu:, ˈhɪ-
hitherward / ~s | ˈɪðǝɹˌwɑ:ɹd, ˈhɪ- / -z
hive / ~s | ǝɪv, hǝɪv / -z
hive | ǝɪv, hǝɪv
ho | o:, ho:
hoa | ˈo:ǝ, ˈho:ǝ
hoar | o:ɹ, ho:ɹ
hoar / ~s | o:ɹ, ho:ɹ / -z
hoard | o:ɹd, ho:-
hoard / ~ed | o:ɹd, ho:- / ˈo:ɹdɪd, ˈho:-
hoarded | ˈo:ɹdɪd, ˈho:-
hoarding | ˈo:ɹdɪn, -ɪŋ, ˈho:-
hoarse | o:ɹs, ho:ɹs
hoary-headed | ˈo:ɹǝɪ-ˌedɪd, ˈho:-, -ˌhe-
Hob [name] | ɒb, hɒb
hobby-horse / ~s | ˈɒbǝɪ-ˌɔ:ɹs, ˈhɒ-, -ˌhɔ:- / -ɪz
hobgoblin | ɒbˈgɒblɪn, hɒb-
hobnail / ~s | ˈɒbnɛ:lz, ˈhɒ-
hob-nob | ˈɒb-ˈnɒb, ˈhɒ-
hodge-pudding | ˈɒdʒ-ˌpʊdɪn, -ɪŋ, ˈhɒ-
hog / ~s | ɒg, hɒg / -z
hogshead / ~s | ˈɒgzed, -ˌed, ˈhɒ-, -ˌhe- / -z
hoise / ~d | ǝɪz, hǝɪz / -d
hoist / ~s / ~ed | ǝɪst, hǝɪst / -s / ˈǝɪstɪd, ˈhǝɪ-
Holborn | ˈo:lˌbɔ:ɹn, ˈho:l-
hold / ~s | o:ld, ho:- / -z
hold / ~est / ~s / ~eth / ~ing / ~en / held / Luc hild | o:ld, ho:- / -st / -z / ˈo:ld·ǝɵ, ho:- / -ɪn, -ɪŋ / -ǝn / eld, held / ɪld, hɪld
hold-door | ˈo:ld-ˌdɔ:ɹ, ˈho:-
Holdfast [name] | ˈo:ld-ˌfast, ˈho:-
holding | ˈo:ldɪn, -ɪŋ, ho:-
holding-anchor | ˈo:ldɪn-ˌaŋkǝɹ, -ɪŋ, ˈho:-
hole / ~s | o:l, ho:l / -z
holiday | ˈɒlɪˌdɛ:, ˈhɒ-
holiday / ~s | ˈɒlɪˌdɛ:, ˈhɒ- / -z
holily | ˈo:lɪlǝɪ, ˈho:-
holiness | ˈo:lɪnǝs, ˈho:-
holla, hola | m ˈɒlǝ, ɒˈlɑ:, ˈhɒ-, hɒ-
holland / Holland | ˈɒlǝnd, ˈhɒ-
Hollander / ~s | ˈɒlǝndǝɹ, ˈhɒ- / -z
hollo | ǝˈlo:, hǝ-
hollow | ˈɒlǝ, -o:, ˈhɒ-
hollow-eyed | ˈɒlǝ-ˌǝɪd, -lo:-, ˈhɒ-
hollow-hearted | ˈɒlǝ-ˈɑ:ɹtɪd, -lo:-, ˈhɒ-, -ˈhɑ:-
hollowing | ˈɒlǝwɪn, -ɪŋ, ˈɒlo:-, ˈhɒ-
hollowly | m ˈɒlǝˌlǝɪ, ˈɒlo:-, ˈhɒ-
hollowness | m ˈɒlǝnǝs, -ˌnes, ˈɒlo:-, ˈhɒ-
hollow-pampered | ˈɒlǝ-ˈpampǝɹd, -lo:-, ˈhɒ-
holly | ˈɒlǝɪ, ˈhɒ-
Holmedon / ~’s | ˈɒlmdǝn, ˈhɒ- / -z
Holofernes | ˈɒlǝˌfɐ:ɹni:z, ˈhɒ-
hol·y / ~ier | ˈo:lǝɪ, ˈho:- / -ǝɹ
Holy Land | ˈo:lǝɪ ˌland, ˈho:-
Holy-rood | ˈo:lǝɪ-ˈru:d, ˈho:-
homage | ˈɒmɪdʒ, ˈhɒ-
homager | ˈɒmɪdʒǝɹ, ˈhɒ-
home | o:m, ho:m
home / ~s | o:m, ho:m / -z
home-bred | ˈo:m-ˌbred, ˈho:-
home-keeping | m ˌo:m-ˈki:pɪn, -ɪŋ, ˈho:-
homely | ˈo:mlǝɪ, ˈho:-
homespun / ~s | ˈo:m-ˌspɤnz, ˈho:-
homeward / ~s | ˈo:mwǝɹd, ˈho:- / -z
homicide / ~s | ˈɒmɪˌsǝɪd, ˈhɒ- / -z
homily | ˈɒmɪlǝɪ, ˈhɒ-
homme / ~s | ɔm
hom·o / ~inem | ˈhɒm·o: / -ɪnem
honest / ~er / ~est | ˈɒnɪst / -ǝɹ / -ǝst
honest-hearted | ˈɒnɪst-ˌɑ:ɹtɪd, -ˌhɑ:-
honestly | m ˈɒnɪstˌlǝɪ, -tl-
honest-natured | ˈɒnɪst-ˌnɛ:tǝɹd
honesty | m ˈɒnɪsˌtǝɪ, -st-
honey | ˈɤnǝɪ, ˈhɤ-
honey / ~ing | ˈɤnǝɪɪn, -ɪŋ, ˈhɤ-
honey-bag / ~s | ˈɤnǝɪ-ˌbag, ˈhɤ- / -z
honey-bee / ~s | ˈɤnǝɪ-ˌbi:z, ˈhɤ-
honeycomb | ˈɤnǝɪ-ˌko:m, ˈhɤ-
honeyed | ˈɤnǝɪd, ˈhɤ-
honey-heavy | ˈɤnǝɪ-ˌevǝɪ, ˈhɤ-, -ˈhe-
honeyless | ˈɤnǝɪˌles, ˈhɤ-
honey-mouthed | ˈɤnǝɪ-ˌmǝʊðd, ˈhɤ-
honeyseed | ˈɤnǝɪ-ˌsi:d, ˈhɤ-
honey-stalk / ~s | ˈɤnǝɪ-ˌstɔ:ks, ˈhɤ-
honeysuckle / ~s | ˈɤnǝɪ-ˌsɤkl, ˈhɤ- / -z
honey-sweet | ˈɤnǝɪ-ˌswi:t, ˈhɤ-
honey-tongued | ˈɤnǝɪ-ˌtɒŋd, ˈhɤ-, -ˌtʊ-
honi | ˈɔni
honneur | ɔˈnœ:ɹ
honorato | ˌɒnǝˈrɑ:ta
honorificabilitudinitatibus | ˌɒnǝˌrɪfɪkabɪlɪˌtju:dɪnɪˈtɑ:tɪbʊs
honour / ~’s / ~s / ~s’ | ˈɒnǝɹ / -z
honour / ~est / ~s / S ~ing / ~ed | ˈɒnǝɹ / -ǝst / -z / ˈɒnǝˌrɪn, -ɪŋ / m ˈɒnǝɹd, -ǝˌred
honourable | m ˈɒnǝˌrabǝl, ˈɒnrǝbǝl
honourably | m ˈɒnrǝbˌlǝɪ, ˈɒnǝˌrablǝɪ
honoured | ˈɒnǝɹd
honour-flawed | ˈɒnǝɹ-ˈflɔ:d
honour-giving | ˈɒnǝɹ-ˈgɪvɪn, -ɪŋ
honour-owing | ˈɒnǝɹ-ˈo:ɪn, -ɪŋ
hoo | hu:, ho:
hood / ~s | ʊd, = / -z
hood / ~ed | ʊd, = / ˈʊdɪd, =
hooded | ˈʊdɪd, =
hoodman | ˈʊdmǝn, =
hoodman-blind | ˈʊdmǝn-ˈblǝɪnd, ˈhʊ-
hoodwink / ~ed | ˈʊdwɪŋk, = / -t
hoof, plural hooves | u:f, ʊf, = / u:fs, u:vz, ʊ-, =
hook / ~s | ʊk, = / -s
hook / ~ing | ʊk, = / ˈʊkɪn, -ɪŋ , ˈhʊ-
hook-nosed | ˈʊk-ˌno:zd, ˈhʊk-
hoop / ~s | u:p, = / -s
hoop / ~ed | u:p, = / -t
hooping | ˈu:pɪn, -ɪŋ, ˈhu:-
hoot / ~s / ~ing / ~ed | u:t, = / -s / ˈu:t·ɪn, -ɪŋ, ˈhu:- / -ɪd
hop | ɒp, =
hope / ~’s / ~s | o:p, ho:p / -s
hop·e / ~est / ~es / ~ing / ~ed | o:p, ho:p / -st / -s / ˈo:pɪn, -ɪŋ, ho:- / o:pt, ho:pt
hoped-for | ˈo:pt-ˌfɔ:ɹ, ˈho:-
hopeful | ˈo:pfʊl, ˈho:-
hopeless | ˈo:plǝs, ˈho:-
Hopkins | ˈɒpkɪnz, =
Horace | ˈɒrɪs, =
Horatio | ǝˈrɛ:sɪo:, hǝ-
horizon | ˈɒrɪˌzɒn, ˈhɒ-
horn / ~s | ɔ:ɹn, hɔ:- / -z
horn-beast / ~s | ˈɔ:ɹn-ˌbi:sts, ˈhɔ:-, ˌbests
horn-book | ˈɔ:ɹn-ˌbʊk, ˈhɔ:-
horned | m ˈɔ:ɹnɪd, ˈhɔ:-
Horner | ˈɔ:ɹnǝɹ, ˈhɔ:-
horning | ˈɔ:ɹnɪn, -ɪŋ, ˈhɔ:-
horn-mad | ˈɔ:ɹn-ˈmad, ˈhɔ:-
hornmaker | ˈɔ:ɹnˌmɛ:kǝɹ, ˈhɔ:-
hornpipe / ~s | ˈɔ:ɹnˌpǝɪps, ˈhɔ:-
horn-ring | ˈɔ:ɹn-ˌrɪŋ, ˈhɔ:-
horologe | ˈɒrǝlɒdʒ, ˈhɒ-
horrible | ˈɒrɪbǝl, =
horribly | m ˈɒrɪbˌlǝɪ, -blǝɪ, ˈhɒ-
horrid / ~er | ˈɒrɪd, = / -ǝɹ
horridly | m ˈɒrɪdˌlǝɪ, -dlǝɪ, ˈhɒ-
horror / ~s | ˈɒrǝɹ, ˈhɒ- / -z
horse / ~’s / ~s / ~s’ | ɔ:ɹs, hɔ:ɹs / ˈɔ:ɹsɪz, ˈhɔ:-
horse / ~ing / ~ed | ˈɔ:ɹsɪn, -ɪŋ, ˈhɔ:- / ɔ:ɹst, hɔ:-
horseback | ˈɔ:ɹsbak, ˈhɔ:-
horseback-breaker | ˈɔ:ɹsbak-ˌbrɛ:kǝɹ, ˈhɔ:-
horse-drench | ˈɔ:ɹs-ˌdrentʃ, ˈhɔ:-
horsehair / ~s | ˈɔ:ɹs-ˌɛ:ɹz, ˈhɔ:-, -hɛ:-
horse-leech / ~es | ˈɔ:ɹs-ˌli:tʃɪz, ˈhɔ:-
horse·man / ~man’s / ~men | ˈɔ:ɹs·mǝn, ˈhɔ:- / -mǝnz / -mǝn
horsemanship | ˈɔ:ɹsmǝnˌʃɪp, ˈhɔ:-
horse-piss | ˈɔ:ɹs-ˌpɪs, ˈhɔ:-
horseshoe | ˈɔ:ɹsˌʃu:, ˈhɔ:-
horse-stealer | ˈɔ:ɹs-ˌsti:lǝɹ, ˈhɔ:-
horsetail | ˈɔ:ɹsˌtɛ:l, ˈhɔ:-
horseway | ˈɔ:ɹsˌwɛ: , ˈhɔ:-
Hortensio / ~’s | m ɔ:ɹˈtensɪo:, -ɪˌo:, hɔ:ɹ- / -z
Hortensius | ɔ:ɹˈtensɪǝs, hɔ:ɹ-
hose | o:z, =
hospitable | ˈɒspɪˌtabǝl, ˈhɒ-
hospital | ˈɒspɪˌtɑl, ˈhɒ-
hospitality | m ˌɒspɪˈtalɪˌtǝɪ, ˈhɒ-
host / ~’s / ~s | o:st, ho:- / -s
host | o:st, ho:-
hostage / ~s | ˈɒstɪdʒ, ˈhɒ- / -ɪz
hostess | ˈo:stes, ˈho:-
hostess-ship | m ˈo:stesˌʃɪp, ˈho:-
hostile | ˈɒstǝɪl, ˈhɒ-
hostility | ɒsˈtɪlɪˌtǝɪ, hɒ-
Hostilius | ɒsˈtɪlɪǝs, hɒ-
hot / ~ter / ~test | ɒt, hɒt / ˈɒt·ǝɹ, ˈhɒ- / -ǝst
hot-bloodied | ˌɒt-ˈblɤdǝɪd, ˌhɒ-
hot-house | ˈɒt-ˌǝʊs, ˈhɒ-, -ˌhǝʊ-
hotly | ˈɒtlǝɪ, ˈhɒ-
Hotspur / ~’s | ˈɒtspǝɹ, ˈhɒ- / -z
hound / ~s | ǝʊnd, hǝʊnd / -z, -nz
hour / ~’s / ~s / ~s’ | o:ɹ, o:ǝɹ [1 syll] / -z
hour-glass | ˈo:ɹ-ˌglas, ˈo:ǝɹ-
hourly | ˈo:ɹlǝɪ, ˈo:ǝɹ-
house | ǝʊs, hǝʊs
house / ~’s / ~s | ǝʊs, hǝʊs / ˈǝʊsɪz, ˈhǝʊ- / ˈǝʊzɪz, ˈhǝʊ-
house / ~d | ǝʊz, hǝʊz / m -d, ˈǝʊzɪd, ˈhǝʊ-
housed | m ˈǝʊzɪd, ˈhǝʊ-
house-eaves | ˈǝʊs-ˌi:vz, ˈhǝʊs-
household | ˈǝʊsˌo:ld, ˈhǝʊs-, -ˌho:-
household / ~’s | ˈǝʊsˌo:ld, ˈhǝʊs-, -ˌho:- / -z
householder / ~s | ˈǝʊsˌo:ldǝɹ, ˈhǝʊs-, -ˌho:- / -z
housekeeper / ~s | ˈǝʊsˌki:pǝɹ, ˈhǝʊs- / -z
housekeeping | ˈǝʊsˌki:pɪn, -ɪŋ, ˈhǝʊs-
houseless | ˈǝʊslǝs, ˈhǝʊs-
house·wife / ~wife’s / ~wives | ˈɤzɪf, ˈhɤ- / -s / ˈɤzɪvz, ˈhɤ-
housewifery | ˈɤzɪfrǝɪ, ˈhɤ-
hovel | ˈɒvǝl, ˈhɒ-
hovel-post | ˈɒvǝl-ˌpo:st, ˈhɒ-
hover / ~s / ~ed | ˈɒvǝɹ, ˈhɒ- / -z / -d
hovering | ˈɒvrɪn, -ɪŋ, ˈɒvǝr-, ˈhɒ-
how | ǝʊ, hǝʊ
howbeit | ǝʊˈbi:t, hǝʊ-
Hower [name] | o:ɹ, ˈo:ǝɹ
however, abbr ~e’er | m ǝʊˈevǝɹ, abbr ǝʊˈɛ:ɹ, hǝʊ-
howl / ~s | ǝʊlz, hǝʊlz
howl / ~est / ~ing / ~ed | ǝʊl, hǝʊl / -st / ˈǝʊlɪn, -ɪŋ, ˈhǝʊ- / m ǝʊld, ˈǝʊlɪd, hǝʊ-, ˈhǝʊ-
howlet / ~’s | ˈǝʊlɪts, ˈhǝʊ-
howling | ˈǝʊlɪn, -ɪŋ, ˈhǝʊ-
howling / ~s | ˈǝʊlɪn, -ɪŋ, ˈhǝʊ- / -z
howsoever, abbr ~e’er | ˌǝʊso:ˈevǝɹ, ˌhǝʊ-, abbr ˌǝʊso:ˈɛ:ɹ, ˌhǝʊ-
howsomever, abbr ~e’er | abbr ˌǝʊsǝmˈɛ:ɹ, ˌhǝʊ-
hox / ~es | ˈɒksɪz, hɒ-
hoy | ǝɪ, hǝɪ
hoyday | ˈǝɪdɛ:, ˈhǝɪ-
hubbub | ˈu:bǝb, ˈhu:-
Hubert / ~s | ˈju:bǝɹt, ˈhju: / -s
huddl·e / ~ing / ~ed | ˈɤdl·ɪn, -ɪŋ, ˈhɤ- / -d
hue | ju:, hj-
hug / ~s / ~ged | ɤg, hɤg / -z / -d
huge | ju:dʒ, hj-
hugely | ˈju:dʒlǝɪ, ˈhj-
hugeness | ˈju:dʒnǝs, ˈhj-
hugger-mugger | ˈɤgǝɹ-ˈmɤgǝɹ, ˈhɤ-
Hugh | ju:, hj-
hulk | ɤlk, hɤ-
hull / ~ing | ɤl, hɤl / ˈɤlɪn, -ɪŋ, ˈhɤ-
hum | ɤm, hɤm
hum / ~s | ɤm, hɤm / -z
hum / ~s | ɤm, hɤm / -z
human | m ˈju:mǝn, ˈhj-
humane | ju:ˈmɛ:n, hj-
humanely | ju:ˈmɛ:nlǝɪ, hj-
humanity | m ju:ˈmanɪˌtǝɪ, -ɪt-, hj-
humble / ~er / ~st | ˈɤmbǝl, ˈhɤ- / -ǝɹ / -ǝst
humbl·e / ~es / ~ing / ~ed | ˈɤmbǝl, ˈhɤ- / -z / -ɪn, -ɪŋ / -d
humble-bee / ~s | ˈɤmbǝl-ˌbi:, ˈhɤ- / -z
humbled | ˈɤmbǝld, ˈhɤ-
humble-mouthed | ˈɤmbǝl-ˌmǝʊðd, ˈhɤ-
humbleness | ˈɤmbǝlˌnes, ˈhɤ-
humble-visaged | ˈɤmbǝl-ˌvɪzɪdʒd, ˈhɤ-
humbly | ˈɤmblǝɪ, ˈhɤ-
Hume / ~’s | ju:m, hju:m / -z
humidity | m jʊˈmɪdɪˌtǝɪ, -ɪt-, hj-
humility | m jʊˈmɪlɪˌtǝɪ, -ɪt-, hj-
humming | ˈɤmɪn, -ɪŋ, ˈhɤ-
humorous | m ˈju:mrǝs, -mǝr-, -mǝˌrɤs, hj-
humour / ~s / ~s’ | ˈju:mǝɹ, ˈhj- / -z
humour / ~s / ~ed | ˈju:mǝɹ, ˈhj- / -z / -d
humoured | ˈju:mǝɹd, ˈhj-
humour-letter | ˈju:mǝɹ-ˌletǝɹ, ˈhj-
